Elem,Thickness (mm),SCF,curve_type
3687,12,1,DNV-CD
3688,12,1,DNV-CD
3689,12,1,DNV-CD
3690,12,1,DNV-CD
3691,12,1,DNV-CD
3692,12,1,DNV-CD
3693,12,1,DNV-CD
3694,12,1,DNV-CD
3695,12,1,DNV-CD
3696,12,1,DNV-CD
3697,12,1,DNV-CD
3698,12,1,DNV-CD
3699,12,1,DNV-CD
3700,12,1,DNV-CD
3701,12,1,DNV-CD
3702,12,1,DNV-CD
3703,12,1,DNV-CD
3704,12,1,DNV-CD
3705,12,1,DNV-CD
3706,12,1,DNV-CD
3707,12,1,DNV-CD
3708,12,1,DNV-CD
3709,12,1,DNV-CD
3710,12,1,DNV-CD
3711,12,1,DNV-CD
3712,12,1,DNV-CD
3713,12,1,DNV-CD
3714,12,1,DNV-CD
3715,12,1,DNV-CD
3716,12,1,DNV-CD
3717,12,1,DNV-CD
3718,12,1,DNV-CD
3719,12,1,DNV-CD
3720,12,1,DNV-CD
3721,12,1,DNV-CD
3722,12,1,DNV-CD
3723,12,1,DNV-CD
3724,12,1,DNV-CD
3725,12,1,DNV-CD
3726,12,1,DNV-CD
3727,12,1,DNV-CD
3728,12,1,DNV-CD
3729,12,1,DNV-CD
3730,12,1,DNV-CD
3731,12,1,DNV-CD
3732,12,1,DNV-CD
3733,12,1,DNV-CD
3734,12,1,DNV-CD
3735,12,1,DNV-CD
3736,12,1,DNV-CD
3737,12,1,DNV-CD
3738,12,1,DNV-CD
3739,12,1,DNV-CD
3740,12,1,DNV-CD
3741,12,1,DNV-CD
3742,12,1,DNV-CD
3743,12,1,DNV-CD
3744,12,1,DNV-CD
3745,12,1,DNV-CD
3746,12,1,DNV-CD
3747,12,1,DNV-CD
3748,12,1,DNV-CD
3749,12,1,DNV-CD
3750,12,1,DNV-CD
3751,12,1,DNV-CD
3752,12,1,DNV-CD
3753,12,1,DNV-CD
3754,12,1,DNV-CD
3755,12,1,DNV-CD
3756,12,1,DNV-CD
3757,12,1,DNV-CD
3758,12,1,DNV-CD
3759,12,1,DNV-CD
3760,12,1,DNV-CD
3761,12,1,DNV-CD
3762,12,1,DNV-CD
3763,12,1,DNV-CD
3764,12,1,DNV-CD
3765,12,1,DNV-CD
3766,12,1,DNV-CD
3767,12,1,DNV-CD
3768,12,1,DNV-CD
3769,12,1,DNV-CD
3770,12,1,DNV-CD
3771,12,1,DNV-CD
3772,12,1,DNV-CD
3773,12,1,DNV-CD
3774,12,1,DNV-CD
3775,12,1,DNV-CD
3776,12,1,DNV-CD
3777,12,1,DNV-CD
3778,12,1,DNV-CD
3779,12,1,DNV-CD
3780,12,1,DNV-CD
3781,12,1,DNV-CD
3782,12,1,DNV-CD
3783,12,1,DNV-CD
3784,12,1,DNV-CD
3785,12,1,DNV-CD
3786,12,1,DNV-CD
3787,12,1,DNV-CD
3788,12,1,DNV-CD
3789,12,1,DNV-CD
3790,12,1,DNV-CD
3791,12,1,DNV-CD
3792,12,1,DNV-CD
3793,12,1,DNV-CD
3794,12,1,DNV-CD
3795,12,1,DNV-CD
3796,12,1,DNV-CD
3797,12,1,DNV-CD
3798,12,1,DNV-CD
3799,12,1,DNV-CD
3800,12,1,DNV-CD
3801,12,1,DNV-CD
3802,12,1,DNV-CD
3803,12,1,DNV-CD
3804,12,1,DNV-CD
3805,12,1,DNV-CD
3806,12,1,DNV-CD
3807,12,1,DNV-CD
3808,12,1,DNV-CD
3809,12,1,DNV-CD
3810,12,1,DNV-CD
3811,12,1,DNV-CD
3812,12,1,DNV-CD
3813,12,1,DNV-CD
3814,12,1,DNV-CD
3815,12,1,DNV-CD
3816,12,1,DNV-CD
3817,12,1,DNV-CD
3818,12,1,DNV-CD
3819,12,1,DNV-CD
3820,12,1,DNV-CD
3821,12,1,DNV-CD
3822,12,1,DNV-CD
3823,12,1,DNV-CD
3824,12,1,DNV-CD
3825,12,1,DNV-CD
3826,12,1,DNV-CD
3827,12,1,DNV-CD
3828,12,1,DNV-CD
3829,12,1,DNV-CD
3830,12,1,DNV-CD
3831,12,1,DNV-CD
3832,12,1,DNV-CD
3833,12,1,DNV-CD
3834,12,1,DNV-CD
3835,12,1,DNV-CD
3836,12,1,DNV-CD
3837,12,1,DNV-CD
3838,12,1,DNV-CD
3839,12,1,DNV-CD
3840,12,1,DNV-CD
3841,12,1,DNV-CD
3842,12,1,DNV-CD
3843,12,1,DNV-CD
3844,12,1,DNV-CD
3845,12,1,DNV-CD
3846,12,1,DNV-CD
3847,12,1,DNV-CD
3848,12,1,DNV-CD
3849,12,1,DNV-CD
3850,12,1,DNV-CD
3851,12,1,DNV-CD
3852,12,1,DNV-CD
3853,12,1,DNV-CD
3854,12,1,DNV-CD
3855,12,1,DNV-CD
3856,12,1,DNV-CD
3857,12,1,DNV-CD
3858,12,1,DNV-CD
3859,12,1,DNV-CD
5881,15,1,DNV-CD
5882,15,1,DNV-CD
5885,15,1,DNV-CD
5886,15,1,DNV-CD
5897,15,1,DNV-CD
5898,15,1,DNV-CD
5901,15,1,DNV-CD
5902,15,1,DNV-CD
5913,15,1,DNV-CD
5914,15,1,DNV-CD
5917,15,1,DNV-CD
5918,15,1,DNV-CD
5929,15,1,DNV-CD
5930,15,1,DNV-CD
5933,15,1,DNV-CD
5934,15,1,DNV-CD
5945,15,1,DNV-CD
5946,15,1,DNV-CD
5949,15,1,DNV-CD
5950,15,1,DNV-CD
5961,15,1,DNV-CD
5962,15,1,DNV-CD
5965,15,1,DNV-CD
5966,15,1,DNV-CD
5977,15,1,DNV-CD
5978,15,1,DNV-CD
5981,15,1,DNV-CD
5982,15,1,DNV-CD
5993,15,1,DNV-CD
5994,15,1,DNV-CD
5997,15,1,DNV-CD
5998,15,1,DNV-CD
6009,15,1,DNV-CD
6010,15,1,DNV-CD
6013,15,1,DNV-CD
6014,15,1,DNV-CD
6025,15,1,DNV-CD
6026,15,1,DNV-CD
6029,15,1,DNV-CD
6030,15,1,DNV-CD
6041,15,1,DNV-CD
6042,15,1,DNV-CD
6045,15,1,DNV-CD
6046,15,1,DNV-CD
6057,15,1,DNV-CD
6058,15,1,DNV-CD
6061,15,1,DNV-CD
6062,15,1,DNV-CD
6073,15,1,DNV-CD
6074,15,1,DNV-CD
6077,15,1,DNV-CD
6078,15,1,DNV-CD
6089,15,1,DNV-CD
6090,15,1,DNV-CD
6093,15,1,DNV-CD
6094,15,1,DNV-CD
6105,15,1,DNV-CD
6106,15,1,DNV-CD
6109,15,1,DNV-CD
6110,15,1,DNV-CD
6121,15,1,DNV-CD
6122,15,1,DNV-CD
6125,15,1,DNV-CD
6126,15,1,DNV-CD
6137,15,1,DNV-CD
6138,15,1,DNV-CD
6141,15,1,DNV-CD
6142,15,1,DNV-CD
6153,15,1,DNV-CD
6154,15,1,DNV-CD
6157,15,1,DNV-CD
6158,15,1,DNV-CD
6169,15,1,DNV-CD
6170,15,1,DNV-CD
6173,15,1,DNV-CD
6174,15,1,DNV-CD
6185,15,1,DNV-CD
6186,15,1,DNV-CD
6189,15,1,DNV-CD
6190,15,1,DNV-CD
6201,15,1,DNV-CD
6202,15,1,DNV-CD
6205,15,1,DNV-CD
6206,15,1,DNV-CD
6217,15,1,DNV-CD
6218,15,1,DNV-CD
6221,15,1,DNV-CD
6222,15,1,DNV-CD
6233,15,1,DNV-CD
6234,15,1,DNV-CD
6237,15,1,DNV-CD
6238,15,1,DNV-CD
6249,15,1,DNV-CD
6250,15,1,DNV-CD
6253,15,1,DNV-CD
6254,15,1,DNV-CD
6265,15,1,DNV-CD
6266,15,1,DNV-CD
6269,15,1,DNV-CD
6270,15,1,DNV-CD
6281,15,1,DNV-CD
6282,15,1,DNV-CD
6285,15,1,DNV-CD
6286,15,1,DNV-CD
6297,15,1,DNV-CD
6298,15,1,DNV-CD
6301,15,1,DNV-CD
6302,15,1,DNV-CD
6313,15,1,DNV-CD
6314,15,1,DNV-CD
6317,15,1,DNV-CD
6318,15,1,DNV-CD
6329,15,1,DNV-CD
6330,15,1,DNV-CD
6333,15,1,DNV-CD
6334,15,1,DNV-CD
6345,15,1,DNV-CD
6346,15,1,DNV-CD
6349,15,1,DNV-CD
6350,15,1,DNV-CD
6361,15,1,DNV-CD
6362,15,1,DNV-CD
6365,15,1,DNV-CD
6366,15,1,DNV-CD
6377,15,1,DNV-CD
6378,15,1,DNV-CD
6381,15,1,DNV-CD
6382,15,1,DNV-CD
6393,15,1,DNV-CD
6394,15,1,DNV-CD
6397,15,1,DNV-CD
6398,15,1,DNV-CD
6409,15,1,DNV-CD
6410,15,1,DNV-CD
6413,15,1,DNV-CD
6414,15,1,DNV-CD
6425,15,1,DNV-CD
6426,15,1,DNV-CD
6429,15,1,DNV-CD
6430,15,1,DNV-CD
6441,15,1,DNV-CD
6442,15,1,DNV-CD
6445,15,1,DNV-CD
6446,15,1,DNV-CD
6457,15,1,DNV-CD
6458,15,1,DNV-CD
6461,15,1,DNV-CD
6462,15,1,DNV-CD
6473,15,1,DNV-CD
6474,15,1,DNV-CD
6477,15,1,DNV-CD
6478,15,1,DNV-CD
6489,15,1,DNV-CD
6490,15,1,DNV-CD
6493,15,1,DNV-CD
6494,15,1,DNV-CD
6505,15,1,DNV-CD
6506,15,1,DNV-CD
6509,15,1,DNV-CD
6510,15,1,DNV-CD
6521,15,1,DNV-CD
6522,15,1,DNV-CD
6525,15,1,DNV-CD
6526,15,1,DNV-CD
6537,15,1,DNV-CD
6538,15,1,DNV-CD
6541,15,1,DNV-CD
6542,15,1,DNV-CD
6553,15,1,DNV-CD
6554,15,1,DNV-CD
6557,15,1,DNV-CD
6558,15,1,DNV-CD
6569,15,1,DNV-CD
6570,15,1,DNV-CD
6573,15,1,DNV-CD
6574,15,1,DNV-CD
6585,15,1,DNV-CD
6586,15,1,DNV-CD
6589,15,1,DNV-CD
6590,15,1,DNV-CD
6601,15,1,DNV-CD
6602,15,1,DNV-CD
6605,15,1,DNV-CD
6606,15,1,DNV-CD
6617,15,1,DNV-CD
6618,15,1,DNV-CD
6621,15,1,DNV-CD
6622,15,1,DNV-CD
6633,15,1,DNV-CD
6634,15,1,DNV-CD
6637,15,1,DNV-CD
6638,15,1,DNV-CD
6649,15,1,DNV-CD
6650,15,1,DNV-CD
6653,15,1,DNV-CD
6654,15,1,DNV-CD
6665,15,1,DNV-CD
6666,15,1,DNV-CD
6669,15,1,DNV-CD
6670,15,1,DNV-CD
6681,15,1,DNV-CD
6682,15,1,DNV-CD
6685,15,1,DNV-CD
6686,15,1,DNV-CD
6697,15,1,DNV-CD
6698,15,1,DNV-CD
6701,15,1,DNV-CD
6702,15,1,DNV-CD
6713,15,1,DNV-CD
6714,15,1,DNV-CD
6717,15,1,DNV-CD
6718,15,1,DNV-CD
6729,15,1,DNV-CD
6730,15,1,DNV-CD
6733,15,1,DNV-CD
6734,15,1,DNV-CD
6745,15,1,DNV-CD
6746,15,1,DNV-CD
6749,15,1,DNV-CD
6750,15,1,DNV-CD
6761,15,1,DNV-CD
6762,15,1,DNV-CD
6765,15,1,DNV-CD
6766,15,1,DNV-CD
6777,15,1,DNV-CD
6778,15,1,DNV-CD
6781,15,1,DNV-CD
6782,15,1,DNV-CD
6793,15,1,DNV-CD
6794,15,1,DNV-CD
6797,15,1,DNV-CD
6798,15,1,DNV-CD
6809,15,1,DNV-CD
6810,15,1,DNV-CD
6813,15,1,DNV-CD
6814,15,1,DNV-CD
6825,15,1,DNV-CD
6826,15,1,DNV-CD
6829,15,1,DNV-CD
6830,15,1,DNV-CD
6841,15,1,DNV-CD
6842,15,1,DNV-CD
6845,15,1,DNV-CD
6846,15,1,DNV-CD
6857,15,1,DNV-CD
6858,15,1,DNV-CD
6861,15,1,DNV-CD
6862,15,1,DNV-CD
6873,15,1,DNV-CD
6874,15,1,DNV-CD
6877,15,1,DNV-CD
6878,15,1,DNV-CD
6889,15,1,DNV-CD
6890,15,1,DNV-CD
6893,15,1,DNV-CD
6894,15,1,DNV-CD
6928,25,1,DNV-CD
6929,25,1,DNV-CD
6930,25,1,DNV-CD
6931,25,1,DNV-CD
6932,25,1,DNV-CD
6933,20,1,DNV-CD
6934,25,1,DNV-CD
6935,20,1,DNV-CD
6944,25,1,DNV-CD
6945,25,1,DNV-CD
6946,25,1,DNV-CD
6947,25,1,DNV-CD
6948,25,1,DNV-CD
6949,20,1,DNV-CD
6950,25,1,DNV-CD
6951,20,1,DNV-CD
6960,25,1,DNV-CD
6961,25,1,DNV-CD
6962,25,1,DNV-CD
6963,25,1,DNV-CD
6964,25,1,DNV-CD
6965,20,1,DNV-CD
6966,25,1,DNV-CD
6967,20,1,DNV-CD
6976,25,1,DNV-CD
6977,25,1,DNV-CD
6978,25,1,DNV-CD
6979,25,1,DNV-CD
6980,25,1,DNV-CD
6981,20,1,DNV-CD
6982,25,1,DNV-CD
6983,20,1,DNV-CD
6992,25,1,DNV-CD
6993,25,1,DNV-CD
6994,25,1,DNV-CD
6995,25,1,DNV-CD
6996,25,1,DNV-CD
6997,20,1,DNV-CD
6998,25,1,DNV-CD
6999,20,1,DNV-CD
7008,25,1,DNV-CD
7009,25,1,DNV-CD
7010,25,1,DNV-CD
7011,25,1,DNV-CD
7012,25,1,DNV-CD
7013,20,1,DNV-CD
7014,25,1,DNV-CD
7015,20,1,DNV-CD
7024,25,1,DNV-CD
7025,25,1,DNV-CD
7026,25,1,DNV-CD
7027,25,1,DNV-CD
7028,25,1,DNV-CD
7029,20,1,DNV-CD
7030,25,1,DNV-CD
7031,20,1,DNV-CD
7040,25,1,DNV-CD
7041,25,1,DNV-CD
7042,25,1,DNV-CD
7043,25,1,DNV-CD
7044,25,1,DNV-CD
7045,20,1,DNV-CD
7046,25,1,DNV-CD
7047,20,1,DNV-CD
7056,25,1,DNV-CD
7057,25,1,DNV-CD
7058,25,1,DNV-CD
7059,25,1,DNV-CD
7060,25,1,DNV-CD
7061,20,1,DNV-CD
7062,25,1,DNV-CD
7063,20,1,DNV-CD
7072,25,1,DNV-CD
7073,25,1,DNV-CD
7074,25,1,DNV-CD
7075,25,1,DNV-CD
7076,25,1,DNV-CD
7077,20,1,DNV-CD
7078,25,1,DNV-CD
7079,20,1,DNV-CD
7088,25,1,DNV-CD
7089,25,1,DNV-CD
7090,25,1,DNV-CD
7091,25,1,DNV-CD
7092,25,1,DNV-CD
7093,20,1,DNV-CD
7094,25,1,DNV-CD
7095,20,1,DNV-CD
7104,25,1,DNV-CD
7105,25,1,DNV-CD
7106,25,1,DNV-CD
7107,25,1,DNV-CD
